# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896549
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    1920.188,   156,Finish(2),before,   1,   0,   1,   0,   1
    1920.188,   156,Finish(2), after,   2,   0,   0,   0,   1
    1931.322,   159,Finish(2),before,   1,   0,   0,   0,   1
    1931.322,   159,Finish(2), after,   1,   0,   0,   0,   0
    1961.780,   157,  Arrival,before,   0,   0,   0,   0,   0
    1961.780,   157,  Arrival, after,   2,   0,   0,   1,   0
    1977.269,   161,Finish(1),before,   1,   0,   0,   1,   0
    1977.269,   161,Finish(1), after,   2,   0,   0,   0,   1
    1983.107,   160,  Arrival,before,   1,   0,   0,   0,   1
    1983.107,   160,  Arrival, after,   3,   0,   0,   1,   1
    1988.019,   164,Finish(1),before,   2,   0,   0,   1,   1
    1988.019,   164,Finish(1), after,   2,   0,   1,   0,   1
    1989.713,   162,Finish(2),before,   1,   0,   1,   0,   1
    1989.713,   162,Finish(2), after,   2,   0,   0,   0,   1
    2003.941,   163,  Arrival,before,   1,   0,   0,   0,   1
    2003.941,   163,  Arrival, after,   3,   0,   0,   1,   1
    2004.391,   167,Finish(1),before,   2,   0,   0,   1,   1
    2004.391,   167,Finish(1), after,   2,   0,   1,   0,   1
    2012.767,   165,Finish(2),before,   1,   0,   1,   0,   1
    2012.767,   165,Finish(2), after,   2,   0,   0,   0,   1
    2026.188,   168,Finish(2),before,   1,   0,   0,   0,   1
    2026.188,   168,Finish(2), after,   1,   0,   0,   0,   0
    2054.910,   166,  Arrival,before,   0,   0,   0,   0,   0
    2054.910,   166,  Arrival, after,   2,   0,   0,   1,   0
    2059.641,   170,Finish(1),before,   1,   0,   0,   1,   0
    2059.641,   170,Finish(1), after,   2,   0,   0,   0,   1
    2073.635,   171,Finish(2),before,   1,   0,   0,   0,   1
    2073.635,   171,Finish(2), after,   1,   0,   0,   0,   0
    2107.174,   169,  Arrival,before,   0,   0,   0,   0,   0
    2107.174,   169,  Arrival, after,   2,   0,   0,   1,   0
    2116.771,   173,Finish(1),before,   1,   0,   0,   1,   0
    2116.771,   173,Finish(1), after,   2,   0,   0,   0,   1
    2131.687,   174,Finish(2),before,   1,   0,   0,   0,   1
    2131.687,   174,Finish(2), after,   1,   0,   0,   0,   0
    2143.526,   172,  Arrival,before,   0,   0,   0,   0,   0
    2143.526,   172,  Arrival, after,   2,   0,   0,   1,   0
    2152.437,   176,Finish(1),before,   1,   0,   0,   1,   0
    2152.437,   176,Finish(1), after,   2,   0,   0,   0,   1
    2170.369,   177,Finish(2),before,   1,   0,   0,   0,   1
    2170.369,   177,Finish(2), after,   1,   0,   0,   0,   0
    2189.048,   175,  Arrival,before,   0,   0,   0,   0,   0
    2189.048,   175,  Arrival, after,   2,   0,   0,   1,   0
    2213.694,   179,Finish(1),before,   1,   0,   0,   1,   0
    2213.694,   179,Finish(1), after,   2,   0,   0,   0,   1
    2221.229,   178,  Arrival,before,   1,   0,   0,   0,   1
    2221.229,   178,  Arrival, after,   3,   0,   0,   1,   1
    2222.075,   182,Finish(1),before,   2,   0,   0,   1,   1
    2222.075,   182,Finish(1), after,   2,   0,   1,   0,   1
    2229.418,   180,Finish(2),before,   1,   0,   1,   0,   1
    2229.418,   180,Finish(2), after,   2,   0,   0,   0,   1
    2241.809,   181,  Arrival,before,   1,   0,   0,   0,   1
    2241.809,   181,  Arrival, after,   3,   0,   0,   1,   1
    2245.485,   183,Finish(2),before,   2,   0,   0,   1,   1
    2245.485,   183,Finish(2), after,   2,   0,   0,   1,   0
    2258.902,   185,Finish(1),before,   1,   0,   0,   1,   0
    2258.902,   185,Finish(1), after,   2,   0,   0,   0,   1
    2279.964,   186,Finish(2),before,   1,   0,   0,   0,   1
    2279.964,   186,Finish(2), after,   1,   0,   0,   0,   0
    2283.265,   184,  Arrival,before,   0,   0,   0,   0,   0
    2283.265,   184,  Arrival, after,   2,   0,   0,   1,   0
    2289.282,   188,Finish(1),before,   1,   0,   0,   1,   0
    2289.282,   188,Finish(1), after,   2,   0,   0,   0,   1
    2303.072,   189,Finish(2),before,   1,   0,   0,   0,   1
    2303.072,   189,Finish(2), after,   1,   0,   0,   0,   0
    2303.826,   187,  Arrival,before,   0,   0,   0,   0,   0
    2303.826,   187,  Arrival, after,   2,   0,   0,   1,   0
    2310.793,   191,Finish(1),before,   1,   0,   0,   1,   0
    2310.793,   191,Finish(1), after,   2,   0,   0,   0,   1
    2323.687,   192,Finish(2),before,   1,   0,   0,   0,   1
    2323.687,   192,Finish(2), after,   1,   0,   0,   0,   0
    2343.565,   190,  Arrival,before,   0,   0,   0,   0,   0
    2343.565,   190,  Arrival, after,   2,   0,   0,   1,   0
    2348.217,   194,Finish(1),before,   1,   0,   0,   1,   0
    2348.217,   194,Finish(1), after,   2,   0,   0,   0,   1
    2365.656,   195,Finish(2),before,   1,   0,   0,   0,   1
    2365.656,   195,Finish(2), after,   1,   0,   0,   0,   0
    2384.503,   193,  Arrival,before,   0,   0,   0,   0,   0
    2384.503,   193,  Arrival, after,   2,   0,   0,   1,   0
    2390.723,   197,Finish(1),before,   1,   0,   0,   1,   0
    2390.723,   197,Finish(1), after,   2,   0,   0,   0,   1
    2410.035,   198,Finish(2),before,   1,   0,   0,   0,   1
    2410.035,   198,Finish(2), after,   1,   0,   0,   0,   0
    2424.327,   196,  Arrival,before,   0,   0,   0,   0,   0
    2424.327,   196,  Arrival, after,   2,   0,   0,   1,   0
    2434.958,   200,Finish(1),before,   1,   0,   0,   1,   0
    2434.958,   200,Finish(1), after,   2,   0,   0,   0,   1
    2451.368,   201,Finish(2),before,   1,   0,   0,   0,   1
    2451.368,   201,Finish(2), after,   1,   0,   0,   0,   0
    2467.728,   199,  Arrival,before,   0,   0,   0,   0,   0
    2467.728,   199,  Arrival, after,   2,   0,   0,   1,   0
    2476.673,   203,Finish(1),before,   1,   0,   0,   1,   0
    2476.673,   203,Finish(1), after,   2,   0,   0,   0,   1
    2486.472,   202,  Arrival,before,   1,   0,   0,   0,   1
    2486.472,   202,  Arrival, after,   3,   0,   0,   1,   1
    2486.823,   206,Finish(1),before,   2,   0,   0,   1,   1
    2486.823,   206,Finish(1), after,   2,   0,   1,   0,   1
    2496.003,   204,Finish(2),before,   1,   0,   1,   0,   1
    2496.003,   204,Finish(2), after,   2,   0,   0,   0,   1
    2514.236,   207,Finish(2),before,   1,   0,   0,   0,   1
    2514.236,   207,Finish(2), after,   1,   0,   0,   0,   0
    2541.404,   205,  Arrival,before,   0,   0,   0,   0,   0
    2541.404,   205,  Arrival, after,   2,   0,   0,   1,   0
    2551.116,   209,Finish(1),before,   1,   0,   0,   1,   0
    2551.116,   209,Finish(1), after,   2,   0,   0,   0,   1
    2565.269,   210,Finish(2),before,   1,   0,   0,   0,   1
    2565.269,   210,Finish(2), after,   1,   0,   0,   0,   0
    2587.943,   208,  Arrival,before,   0,   0,   0,   0,   0
    2587.943,   208,  Arrival, after,   2,   0,   0,   1,   0
    2597.263,   212,Finish(1),before,   1,   0,   0,   1,   0
